, e, e3, e2, e23, e1, e13, e12, e123, e0, e03, e02, e023, e01, e013, e012, e0123
e, e, e3, e2, e23, e1, e13, e12, e123, e0, e03, e02, e023, e01, e013, e012, e0123
e3, e3, e, -e23, -e2, -e13, -e1, e123, e12, -e03, -e0, e023, e02, e013, e01, -e0123, -e012
e2, e2, e23, e, e3, -e12, -e123, -e1, -e13, -e02, -e023, -e0, -e03, e012, e0123, e01, e013
e23, e23, e2, -e3, -e, e123, e12, -e13, -e1, e023, e02, -e03, -e0, e0123, e012, -e013, -e01
e1, e1, e13, e12, e123, e, e3, e2, e23, -e01, -e013, -e012, -e0123, -e0, -e03, -e02, -e023
e13, e13, e1, -e123, -e12, -e3, -e, e23, e2, e013, e01, -e0123, -e012, -e03, -e0, e023, e02
e12, e12, e123, e1, e13, -e2, -e23, -e, -e3, e012, e0123, e01, e013, -e02, -e023, -e0, -e03
e123, e123, e12, -e13, -e1, e23, e2, -e3, -e, -e0123, -e012, e013, e01, -e023, -e02, e03, e0
e0, e0, e03, e02, e023, e01, e013, e012, e0123, 0, 0, 0, 0, 0, 0, 0, 0
e03, e03, e0, -e023, -e02, -e013, -e01, e0123, e012, 0, 0, 0, 0, 0, 0, 0, 0
e02, e02, e023, e0, e03, -e012, -e0123, -e01, -e013, 0, 0, 0, 0, 0, 0, 0, 0
e023, e023, e02, -e03, -e0, e0123, e012, -e013, -e01, 0, 0, 0, 0, 0, 0, 0, 0
e01, e01, e013, e012, e0123, e0, e03, e02, e023, 0, 0, 0, 0, 0, 0, 0, 0
e013, e013, e01, -e0123, -e012, -e03, -e0, e023, e02, 0, 0, 0, 0, 0, 0, 0, 0
e012, e012, e0123, e01, e013, -e02, -e023, -e0, -e03, 0, 0, 0, 0, 0, 0, 0, 0
e0123, e0123, e012, -e013, -e01, e023, e02, -e03, -e0, 0, 0, 0, 0, 0, 0, 0, 0
