, e, e3, e2, e23, e1, e13, e12, e123, e0, e03, e02, e023, e01, e013, e012, e0123
e, e, e3, e2, e23, e1, e13, e12, e123, e0, e03, e02, e023, e01, e013, e012, e0123
e3, e3, 0, -e23, 0, -e13, 0, e123, 0, -e03, 0, e023, 0, e013, 0, -e0123, 0
e2, e2, e23, 0, 0, -e12, -e123, 0, 0, -e02, -e023, 0, 0, e012, e0123, 0, 0
e23, e23, 0, 0, 0, e123, 0, 0, 0, e023, 0, 0, 0, e0123, 0, 0, 0
e1, e1, e13, e12, e123, 0, 0, 0, 0, -e01, -e013, -e012, -e0123, 0, 0, 0, 0
e13, e13, 0, -e123, 0, 0, 0, 0, 0, e013, 0, -e0123, 0, 0, 0, 0, 0
e12, e12, e123, 0, 0, 0, 0, 0, 0, e012, e0123, 0, 0, 0, 0, 0, 0
e123, e123, 0, 0, 0, 0, 0, 0, 0, -e0123, 0, 0, 0, 0, 0, 0, 0
e0, e0, e03, e02, e023, e01, e013, e012, e0123, 0, 0, 0, 0, 0, 0, 0, 0
e03, e03, 0, -e023, 0, -e013, 0, e0123, 0, 0, 0, 0, 0, 0, 0, 0, 0
e02, e02, e023, 0, 0, -e012, -e0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
e023, e023, 0, 0, 0, e0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
e01, e01, e013, e012, e0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
e013, e013, 0, -e0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
e012, e012, e0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
e0123, e0123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
