, e, e3, e2, e23, e1, e13, e12, e123, e0, e03, e02, e023, e01, e013, e012, e0123
e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, e
e3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -e, e3
e2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, e, 0, e2
e23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, e, e3, e2, e23
e1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -e, 0, 0, 0, e1
e13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -e, -e3, 0, 0, e1, e13
e12, 0, 0, 0, 0, 0, 0, 0, 0, 0, e, 0, -e2, 0, -e1, 0, e12
e123, 0, 0, 0, 0, 0, 0, 0, 0, -e, e3, e2, -e23, e1, -e13, -e12, e123
e0, 0, 0, 0, 0, 0, 0, 0, e, 0, 0, 0, 0, 0, 0, 0, e0
e03, 0, 0, 0, 0, 0, 0, e, e3, 0, 0, 0, 0, 0, 0, e0, e03
e02, 0, 0, 0, 0, 0, -e, 0, e2, 0, 0, 0, 0, 0, -e0, 0, e02
e023, 0, 0, 0, 0, e, -e3, -e2, e23, 0, 0, 0, 0, e0, -e03, -e02, e023
e01, 0, 0, 0, e, 0, 0, 0, e1, 0, 0, 0, e0, 0, 0, 0, e01
e013, 0, 0, -e, e3, 0, 0, -e1, e13, 0, 0, -e0, e03, 0, 0, -e01, e013
e012, 0, e, 0, e2, 0, e1, 0, e12, 0, e0, 0, e02, 0, e01, 0, e012
e0123, e, e3, e2, e23, e1, e13, e12, e123, e0, e03, e02, e023, e01, e013, e012, e0123
