 Distance Design        Paper flaps   Weight Rep
    21.17   Dart Construction  None NoWeight   3
    10.42 Glider       Copier Flaps NoWeight   3
    23.25   Dart Construction  None NoWeight   4
    22.17   Dart       Copier  None   Weight   3
     9.92 Glider Construction  None NoWeight   1
    20.25   Dart       Copier Flaps   Weight   4
    12.42 Glider Construction Flaps NoWeight   2
     9.08 Glider       Copier  None   Weight   1
    20.75   Dart       Copier Flaps   Weight   3
    10.58 Glider Construction  None NoWeight   2
    22.25   Dart       Copier  None   Weight   4
    11.17 Glider Construction Flaps   Weight   2
    11.00 Glider       Copier Flaps   Weight   1
    17.25 Glider Construction Flaps NoWeight   4
    13.75 Glider Construction Flaps   Weight   3
    10.17 Glider       Copier  None NoWeight   1
    22.75   Dart       Copier  None NoWeight   2
    11.83 Glider       Copier  None NoWeight   4
    26.33   Dart Construction Flaps   Weight   4
    15.67   Dart Construction Flaps NoWeight   2
    20.92   Dart Construction Flaps NoWeight   1
    27.83   Dart       Copier  None NoWeight   4
    27.75   Dart Construction Flaps   Weight   3
    10.00 Glider Construction  None   Weight   2
     8.42 Glider       Copier  None   Weight   2
    13.50 Glider Construction Flaps   Weight   1
    24.67   Dart Construction Flaps   Weight   1
    18.08   Dart Construction  None   Weight   3
    16.58 Glider       Copier Flaps NoWeight   2
    18.33   Dart       Copier Flaps NoWeight   1
    13.50 Glider Construction Flaps   Weight   4
    29.08   Dart Construction Flaps   Weight   2
    22.25   Dart       Copier  None   Weight   2
    10.83 Glider Construction  None NoWeight   3
    24.83   Dart       Copier  None NoWeight   3
    12.00 Glider       Copier Flaps   Weight   2
    10.42 Glider       Copier  None NoWeight   2
    18.67   Dart Construction  None   Weight   1
    21.25   Dart       Copier Flaps   Weight   2
    19.75   Dart Construction  None NoWeight   2
    11.42 Glider Construction  None NoWeight   4
    10.42 Glider       Copier  None   Weight   3
    11.00 Glider       Copier Flaps   Weight   4
    20.33   Dart Construction  None   Weight   2
    10.42 Glider Construction  None   Weight   1
    19.17   Dart       Copier Flaps NoWeight   2
    18.00   Dart       Copier Flaps NoWeight   4
    24.08   Dart Construction  None NoWeight   1
    11.75 Glider       Copier  None NoWeight   3
    26.42   Dart       Copier  None   Weight   1
