    fert  crop    yield
    None Paddy 7.10
 Compost Paddy 4.79
     NPK Paddy 6.03
    None Paddy 6.99
 Compost Paddy 4.99
     NPK Paddy 6.05
    None Paddy 7.23
 Compost Paddy 4.83
     NPK Paddy 5.91
    None Paddy 6.99
 Compost Paddy 4.94
     NPK Paddy 6.09
    None Paddy 7.08
 Compost Paddy 5.18
     NPK Paddy 6.15
    None Wheat 1.87
 Compost Wheat 3.02
     NPK Wheat 3.64
    None Wheat 2.12
 Compost Wheat 2.94
     NPK Wheat 3.76
    None Wheat 1.95
 Compost Wheat 3.04
     NPK Wheat 3.81
    None Wheat 2.15
 Compost Wheat 2.89
     NPK Wheat 3.82
    None Wheat 1.86
 Compost Wheat 3.27
     NPK Wheat 3.83
