"name","extn","hour","min","sec","size","date"
"i","webm",0,1,39.6,27104899,"Sep 27"
"diff3","webm",0,26,41.43,153245337,"Apr 12"
"bad","webm",0,0,29.29,1741905,"May 15"
"lec28","webm",0,15,15.57,171609228,"Nov 24"
"soap","webm",0,21,24.23,82335874,"Mar 28"
"lec21","webm",0,22,21.2,676834427,"Oct 18"
"lec39","webm",0,16,38.17,148024207,"Dec 22"
"lec15","webm",0,12,39.33,85012289,"Sep 30"
"lec38","webm",0,16,7.5,126593077,"Nov 28"
"lec6","webm",0,10,5.07,77458931,"Sep 17"
"lec26","webm",0,14,10.1,187004635,"Nov 13"
"spl","webm",0,22,57.6,199648251,"Apr 25"
"lec7","webm",0,26,30.43,172876572,"Sep 17"
"lec30","webm",0,17,29.8,99932254,"Nov 11"
"proof","webm",0,28,21.77,198251315,"Apr 02"
"lec9","webm",0,19,44.43,524780083,"Sep 20"
"prob2","webm",0,42,27.1,294615982,"May 03"
"intro","webm",0,0,20,3367178,"Mar 02"
"lec36","webm",0,16,5.13,113469941,"Nov 25"
"lec29","webm",0,15,20.37,124653379,"Nov 10"
"jacobi","webm",0,23,7.32,189999355,"Apr 12"
"gq2","webm",0,37,13.97,290907225,"Apr 22"
"indranilda","webm",0,21,30.56,231595020,"Sep 27"
"fun","webm",0,1,14.44,10336813,"Apr 03"
"lec25","webm",0,8,35.2,75035467,"Nov 12"
"lec22","webm",0,14,19.07,93658241,"Oct 21"
"lec40","webm",0,16,39,151895082,"Dec 08"
"lec35","webm",0,10,50.73,65336556,"Nov 25"
"lec32","webm",0,21,6.03,169358600,"Nov 16"
"lec23","webm",0,36,31.9,882886097,"Oct 24"
"prob","webm",0,19,29.37,166325108,"Apr 28"
"lec100","webm",0,7,2.27,79111705,"Oct 22"
"lec20","webm",0,17,1.47,454522967,"Oct 15"
"err2","webm",0,27,58.27,270948504,"May 13"
"err1","webm",0,38,23.4,465197122,"May 12"
"lec19","webm",0,21,57.5,321287533,"Oct 11"
"lec18","webm",0,19,15.53,257676218,"Oct 03"
"lec12","webm",0,32,32.8,424883261,"Sep 25"
"lec27","webm",0,11,45.77,58756905,"Nov 23"
"riem","webm",0,46,28.36,949402586,"Apr 24"
"lec33","webm",0,13,46.8,113801984,"Nov 19"
"mac2","webm",0,1,14.96,1448583,"Dec 01"
"first","webm",0,0,18.6,14601497,"May 30"
"prob3","webm",0,26,11.3,207133764,"Jun 01"
"riem2","webm",0,31,55.32,812636500,"May 02"
"lec1","webm",0,21,20,273866624,"Sep 02"
"lu","webm",0,28,11.2,205637598,"Apr 02"
"lec17","webm",0,32,26.8,307410607,"Oct 02"
"int2","webm",0,9,30.37,65595202,"Apr 17"
"lec3","webm",0,26,56.5,187687767,"Sep 12"
"lec8","webm",0,16,18,209851386,"Sep 19"
"lec2","webm",0,15,23.4,92287228,"Sep 02"
"lec16","webm",0,26,31.8,504191110,"Oct 01"
"lec34","webm",0,14,20.03,166039825,"Nov 21"
"lec103","webm",0,16,18.7,552618038,"Oct 31"
"lec24","webm",0,25,48.27,716624405,"Oct 26"
"lec101","webm",0,13,15.73,383411189,"Oct 29"
"lec42","webm",0,19,38.57,138399261,"Dec 10"
"lec4","webm",0,17,28.7,202153529,"Sep 11"
"cartbkc","webm",0,28,41.83,122328519,"Jul 12"
"lec37","webm",0,13,1.77,119276199,"Nov 26"
"pca","webm",0,23,43.9,95145475,"Feb 28"
"cart","webm",0,28,46.2,122574855,"Mar 15"
"lec41","webm",0,18,22.53,117545311,"Dec 09"
"mul","webm",0,7,54.08,162463578,"Apr 14"
"iter","webm",1,4,14.2,1034583359,"Apr 13"
"diff2","webm",0,15,45.67,112132996,"Apr 11"
"lec11","webm",0,24,2.1,360256356,"Sep 23"
"lec5","webm",0,27,43.1,181745896,"Sep 15"
"lec14","webm",0,29,28.03,1156758131,"Sep 29"
"Keyboard Typing Sound Effect","mp4",0,0,10.01,319735,"Jun 20"
"geoalgtitlelo","mp4",0,21,38.97,150951496,"Sep 27"
"lec27","mp4",0,11,45.77,20086408,"Nov 04"
"lec100","mp4",0,7,2.27,14902581,"Oct 22"
"lec28","mp4",0,15,15.57,35112812,"Nov 05"
"lec10","mp4",0,24,1.52,106393613,"Sep 22"
"lec22","mp4",0,14,19.07,28655727,"Oct 21"
"lec21","mp4",0,22,21.2,122567691,"Oct 18"
"lec11","mp4",0,24,2.1,81114194,"Sep 23"
"lu","mp4",0,28,11.2,52172808,"Sep 27"
"lec3","mp4",0,26,56.5,48954203,"Oct 21"
"lec42","mp4",0,19,38.57,43715758,"Dec 10"
"lec18","mp4",0,19,15.53,56693538,"Oct 05"
"lec29","mp4",0,15,20.37,34144091,"Nov 10"
"diff2","mp4",0,15,45.67,26380292,"Sep 27"
"r","mp4",0,46,28.36,299280387,"Apr 24"
"making shrek in blender timelapse","mp4",0,6,52.13,78245683,"Aug 14"
"lec23","mp4",0,36,31.9,170803074,"Oct 24"
"The Making of Snow White - DisneyAvenue.com","mp4",0,39,2.41,264834219,"Nov 02"
"lec30","mp4",0,17,29.8,31313535,"Nov 11"
"lec13","mp4",0,22,49,59270898,"Sep 28"
"silly","mp4",0,1,32,2882922,"Mar 31"
"lec7","mp4",0,26,30.43,49450121,"Oct 21"
"lec41","mp4",0,18,22.53,33568308,"Dec 03"
"proof","mp4",0,28,21.77,51961524,"Sep 27"
"lec25","mp4",0,8,35.2,19258338,"Nov 01"
"20201011_110042","mp4",0,16,44.42,420656971,"Oct 11"
"spl","mp4",0,22,57.68,196194313,"Apr 25"
"lec4","mp4",0,17,28.7,45246955,"Oct 21"
"raj","mp4",0,43,11.53,306760383,"Jun 22"
"lec34","mp4",0,14,20.03,35807091,"Nov 21"
"20201111_061924","mp4",0,18,25.52,463598417,"Nov 11"
"lec9","mp4",0,19,44.43,99883941,"Sep 20"
"lec14","mp4",0,29,28.03,246058602,"Sep 29"
"lec102","mp4",0,26,28.3,147518765,"Oct 30"
"Free 3D Shrek model for Blender by Peter Hidi","mp4",0,4,47.02,30038504,"Aug 14"
"lec17","mp4",0,32,26.8,83100485,"Oct 01"
"lec37","mp4",0,13,1.77,30010751,"Nov 26"
"Screencast 2020-06-21 19:22:11","mp4",0,3,8.33,1413325,"Jun 21"
"anim","mp4",0,0,5.04,17502,"Sep 10"
"indranilda","mp4",0,21,30.56,72026013,"Sep 27"
"lec1","mp4",0,21,20,61218767,"Oct 21"
"lec6","mp4",0,10,5.07,20956356,"Oct 21"
"jacobi","mp4",0,23,7.32,48285597,"Sep 27"
"lec39","mp4",0,16,38.17,33892807,"Dec 01"
"diff3","mp4",0,26,41.43,47553831,"Sep 27"
"error1","mp4",0,38,23.48,411116698,"May 01"
"lec2","mp4",0,15,23.4,26867227,"Oct 21"
"r2","mp4",0,31,55.32,217493449,"May 22"
"lec101","mp4",0,13,15.73,64439867,"Oct 29"
"William Shakespeare's Othello with Sir Laurence Olivier","mp4",2,38,38.35,1546232195,"Dec 01"
"lec38","mp4",0,16,7.5,32116852,"Nov 28"
"lec19","mp4",0,21,57.5,76783206,"Oct 11"
"lec16","mp4",0,26,31.8,109436299,"Oct 20"
"lec33","mp4",0,13,46.8,29689469,"Nov 19"
