tm,y
1,9.4
2,11
3,10.5
4,10.7
5,9.5
6,10.6
7,9.3
8,10.5
9,10.8
10,11.8
11,13.2
12,11.2
13,12.5
14,11.1
15,13
16,14
17,14
18,12.1
19,13.9
20,12.9
21,14.6
22,14
23,15
24,16
25,16.9
26,14.8
27,16.4
28,18.8
29,16.8
30,18.5
31,20.2
32,20.2
33,19.1
34,21.9
35,22.4
36,23
37,23.1
38,23.9
39,24
40,24.9
41,26.6
42,25.2
43,28.3
44,29.9
45,27.9
46,31.4
47,30.5
48,31.6
49,36.3
50,33.4
51,34.5
52,36.8
53,37.8
54,37
55,40.1
56,41
57,40
58,44.5
59,44
60,45.1
61,45.3
62,47.1
63,48.6
64,47.9
65,52.4
66,53.7
67,54.6
68,54.3
69,55.9
70,59.4
71,57.7
72,59.4
73,61.2
74,62.6
75,64.4
76,65
77,67.9
78,71.2
79,72.6
80,71.2
81,72.5
82,75.2
83,77
84,79
85,82
86,81.4
87,83.2
88,86.4
89,86.6
90,88.7
91,91.4
92,93.7
93,95.9
94,96.3
95,98.6
96,99.8
97,102.9
98,103.3
99,106.6
100,106.8
