tm,y
1,-12.9336841515589
2,-11.1663972566252
3,-12.4291443759203
4,-10.9982975885702
5,-10.5430828495436
6,-9.4746255149527
7,-11.4040392237357
8,-10.5122866122666
9,-9.94028917192903
10,-10.1034051203153
11,-11.6166927261714
12,-8.10704431259004
13,-9.18322715431303
14,-9.71288088676773
15,-9.44349287446365
16,-6.5437499923673
17,-8.7664488956456
18,-6.76026478664907
19,-6.71159868200768
20,-6.207499538061
21,-5.84705590876919
22,-4.04256378566137
23,-4.52111802221295
24,-3.50654995813257
25,-4.00553876113528
26,-1.67848108781538
27,-3.47160639822103
28,0.460113025097036
29,0.798401059650435
30,0.369759967397994
31,3.03771257500159
32,0.607298166110255
33,3.8202876133275
34,4.91147655182945
35,4.21183114890575
36,5.18680282103907
37,6.12119047112683
38,7.3506957989492
39,6.58430741059545
40,9.77450602008727
41,12.2602871636386
42,12.6068162116319
43,12.4354173042147
44,13.98485727548
45,14.3303330752565
46,15.911199665815
47,16.9376940217703
48,19.4588758929721
49,17.8284514427519
50,21.3215608086239
