x,y
-0.7753,2.214
0.8137,0.928
0.8848,0.584
-0.3531,2.866
1.0085,0.154
-0.5203,1.025
-0.18,1.517
-0.3863,1.145
-1.4338,2.211
2.5625,-1.957
-0.4308,1.597
0.026,1.982
1.0094,1.051
-0.8349,2.788
-0.6607,2.188
-0.8423,1.493
-0.8715,1.352
-0.416,1.795
1.51,-1.007
-1.0608,1.443
0.0713,0.862
1.9886,-1.139
1.3432,-0.718
1.2459,-0.703
1.7075,-0.724
-1.3068,1.98
1.7674,-0.195
-0.5948,2.9
-1.8127,2.576
-0.5771,2.291
1.6206,-1.086
0.8767,0.864
0.4404,0.454
-0.5267,1.774
0.1574,0.335
-0.4955,1.583
1.3232,0.032
-0.6008,1.585
-0.9719,2.539
0.6813,1.073
-0.3462,1.968
0.3987,0.576
-2.9317,3.966
0.1543,0.863
1.0847,-1.249
-1.8682,2.919
0.2666,0.26
0.0131,0.765
-0.3159,0.752
0.0011,1.439
