x,y
0.7756,1.351
0.3642,0.772
0.1556,0.346
0.5324,2.01
0.7113,1.857
0.127,0.932
0.5592,2.377
0.0883,2.18
0.2196,0.348
0.7028,2.136
0.9652,1.932
0.6005,2.735
0.604,2.901
0.5973,2.901
0.5514,2.456
0.7963,2.134
0.0615,2.346
0.936,1.883
0.1116,1.156
0.8663,1.976
0.8644,1.687
0.2129,0.143
0.7798,1.376
0.4199,0.949
0.0063,3.137
0.1773,0.542
0.3563,0.507
0.4202,0.775
0.5457,2.327
0.7444,1.286
0.9239,1.722
0.2931,0.847
0.9459,2.101
0.0612,2.624
0.0313,2.405
0.9368,1.917
0.0439,2.477
0.3725,0.798
0.3551,0.9
0.2913,0.72
0.5274,1.313
0.0345,2.342
0.4722,0.578
0.4567,0.885
0.7486,1.579
0.472,0.778
0.5707,2.355
0.5944,3.029
0.6262,3.007
0.2805,0.634
0.4531,0.956
0.5921,2.678
0.1105,1.605
0.039,2.638
0.1575,0.237
0.655,2.939
0.4932,0.589
0.8028,1.428
0.9793,2.333
0.3557,0.543
0.8813,1.829
0.3889,0.782
0.25,0.639
0.0491,2.498
0.4043,0.768
0.9575,1.739
0.2761,0.585
0.2289,0.287
0.0759,2.101
0.2196,-0.048
0.4935,1.149
0.3946,1.045
0.1194,1.058
0.7271,1.756
0.1115,1.479
0.8706,2.227
0.3681,0.834
0.9904,2.025
0.7367,1.612
0.9117,1.637
0.0101,3.204
0.4244,0.718
0.2895,0.658
0.8558,2.008
0.7804,1.749
0.3797,0.784
0.1708,0.134
0.9016,1.978
0.8145,1.655
0.6902,2.497
0.8204,1.794
0.5053,0.88
0.4303,0.978
0.311,0.815
0.7289,2.023
0.8427,2.188
0.1595,0.408
0.6774,2.621
0.9394,2.158
0.8858,1.694
