       X            Y          Z
  0.3276365942 -1.21541073  0.82193410
 -0.2359370750 -0.81073362  0.40295876
  0.7455419467 -2.87482534  2.04110719
 -0.5634431588  0.97203091 -0.81625730
 -1.1356369756  0.36718030 -0.98180822
  0.0414686712 -1.86755044  0.99885181
 -0.5239667006 -0.30447760 -0.32943902
  2.3393421246 -0.93845421  1.78229106
 -0.4622161362  0.75318272 -0.74800560
  2.0446062729 -0.54128562  1.30793949
 -2.4804809068  0.88509216 -1.75131442
  2.2224981743 -1.52567531  1.73841024
  0.5845490032 -1.96174528  1.35015223
  0.0002259373 -0.82622557  0.66450561
 -1.8498858108  1.99528402 -2.11077930
 -1.2402500858  1.70553229 -1.37293680
 -2.1010050651  0.78836462 -1.47453168
 -1.0784211961  2.56737653 -2.03336792
  1.5820399767 -1.62145897  1.77525581
 -0.6306905018  1.25115049 -1.11489877
  2.3259750637 -0.97629939  1.78585738
  1.2753011157 -0.43052346  0.63911728
 -0.2568267268 -0.18110102  0.18291166
  0.0824309081  0.05819627  0.01026902
  1.9012208411 -0.99791308  1.53789682
  1.9315964459 -0.75088833  1.09138636
 -0.7514556095 -0.06777259 -0.14206992
 -1.1709445322 -0.54577810 -0.27988271
 -0.0013764851  0.67536604 -0.12187285
  0.4543517176 -1.62020997  1.02126046
 -1.0210199948  2.22454157 -1.48983726
  0.9110425388 -0.74732395  1.11573955
 -1.6269057658  0.65580677 -1.30998160
  0.0317454249 -1.17979003  0.63814733
  0.6780832935 -1.00944081  0.78699292
  1.0407944012  0.47797838  0.45641001
 -0.7844031817  2.48741162 -1.67231707
  0.2899129276 -1.56916914  0.72119774
  1.3126748514  0.22228766  0.36118909
 -0.3372573756 -1.01666156  0.33031841
 -1.5760308158 -0.28184159 -0.43636457
 -2.0058808219  0.41972993 -1.07976789
 -2.6095208005  1.13501159 -1.66433795
 -0.2138451634  1.52245392 -0.63550632
  1.6938231403 -0.53077278  1.16136847
 -1.8677859000  0.09790983 -1.08071370
  1.4490304046  0.05428341  0.49974154
 -0.7138541046  0.65202552 -0.71492035
 -0.4493043805  2.08673961 -1.47733636
  1.2159925398 -2.28235981  1.94198274
