 Phys  Stat
 45 49
 66 64
 54 50
 52 52
 55 57
 36 38
 70 71
 46 43
 37 37
 54 52
 42 48
 54 56
 55 54
 54 54
 58 54
 36 37
 57 56
 50 50
 66 63
 40 40
 62 65
 52 53
 46 44
 62 59
 67 68
 46 46
 40 44
 44 40
 63 61
 21 27
 53 56
 46 44
 42 40
 37 38
 35 30
 45 43
 58 59
 54 53
 41 36
 63 62
 41 40
 44 46
 44 46
 37 37
 58 55
 53 55
 45 47
 52 46
 49 50
 51 56
 56 55
 41 41
 62 62
 39 38
 56 57
 44 44
 45 45
 61 61
 45 47
 48 47
 57 57
 46 41
 35 35
 55 49
 41 45
 51 50
 52 49
 35 33
 47 44
 60 61
 55 54
 50 46
 63 60
 49 51
 44 51
 35 37
 47 49
 62 64
 47 49
 59 54
 46 47
 41 43
 58 59
 63 63
 53 54
 54 52
 61 62
 48 49
 47 48
 56 54
 47 49
 53 51
 57 52
 62 59
 52 47
 56 56
 45 43
 29 35
 46 41
 53 48

