ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.6776,7.0785,6.1184,29,2023-07-08 16:05:32:836
0.0275,4.0833,8.7257,1029,2023-07-08 16:05:33:836
1.5251,8.9399,3.3363,2029,2023-07-08 16:05:34:836
-0.012,6.4105,4.3012,3029,2023-07-08 16:05:35:836
-7.2939,3.1376,4.561,4029,2023-07-08 16:05:36:836
-8.1989,2.2326,4.4281,5029,2023-07-08 16:05:37:836
-8.266,2.211,4.4137,6029,2023-07-08 16:05:38:836
-8.351,2.1452,4.4424,7029,2023-07-08 16:05:39:836
-7.8302,2.0686,4.5107,8029,2023-07-08 16:05:40:836
-8.0278,2.0482,4.5813,9029,2023-07-08 16:05:41:836
-8.4156,2.132,4.367,10030,2023-07-08 16:05:42:837
-8.1678,2.1237,4.5143,11029,2023-07-08 16:05:43:836
-8.0325,2.1584,4.6364,12029,2023-07-08 16:05:44:836
-7.4579,3.2453,4.3012,13030,2023-07-08 16:05:45:837
-8.7281,2.1763,5.1906,14029,2023-07-08 16:05:46:836
-9.3745,2.4565,3.8247,15029,2023-07-08 16:05:47:836
-9.0896,2.5151,2.4469,16030,2023-07-08 16:05:48:837
-8.8346,2.7593,2.824,17029,2023-07-08 16:05:49:836
-5.2996,3.7266,6.8917,18029,2023-07-08 16:05:50:836
-3.1639,1.0475,9.4188,19030,2023-07-08 16:05:51:837
-1.6125,1.1097,8.9244,20029,2023-07-08 16:05:52:836
-4.0606,-0.4262,8.7257,21029,2023-07-08 16:05:53:836
-4.0067,-0.8092,8.9052,22030,2023-07-08 16:05:54:837
-2.2589,0.6488,9.2296,23029,2023-07-08 16:05:55:836
-0.2394,0.6129,9.5948,24029,2023-07-08 16:05:56:836
-2.1272,-0.2538,9.4846,25029,2023-07-08 16:05:57:836
-3.1783,0.7805,8.7424,26029,2023-07-08 16:05:58:836
-0.565,0.1891,8.7149,27030,2023-07-08 16:05:59:837
-2.3667,0.893,8.5724,28029,2023-07-08 16:06:00:836
-0.5962,0.4274,8.6443,29029,2023-07-08 16:06:01:836
-3.5793,1.4533,9.1375,30029,2023-07-08 16:06:02:836
-3.9037,0.644,9.5756,31029,2023-07-08 16:06:03:836
-4.9153,1.3695,8.2349,32029,2023-07-08 16:06:04:836
-4.774,0.8847,7.203,33029,2023-07-08 16:06:05:836
-3.3447,1.9848,9.8055,34030,2023-07-08 16:06:06:837
-2.6264,-1.075,10.0904,35029,2023-07-08 16:06:07:836
-5.7138,0.583,8.928,36029,2023-07-08 16:06:08:836
-5.6719,-0.1113,7.2939,37029,2023-07-08 16:06:09:836
-3.614,0.3196,8.8992,38030,2023-07-08 16:06:10:837
0.6105,0.0251,9.2811,39029,2023-07-08 16:06:11:836
-3.2681,1.6568,8.0864,40029,2023-07-08 16:06:12:836
-2.053,1.5143,8.3474,41029,2023-07-08 16:06:13:836
-3.0011,-0.1041,8.9723,42030,2023-07-08 16:06:14:837
