ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.8679,4.6292,10.805,22,2023-07-08 16:22:22:558
1.0774,5.5941,8.5365,1022,2023-07-08 16:22:23:558
-0.1389,4.4245,8.084,2022,2023-07-08 16:22:24:558
-2.3703,1.3396,8.6251,3022,2023-07-08 16:22:25:558
-4.5669,-3.7002,5.94,4023,2023-07-08 16:22:26:559
0.5219,-1.2821,7.0964,5022,2023-07-08 16:22:27:558
0.2586,0.3508,9.5062,6022,2023-07-08 16:22:28:558
0.1484,0.5303,9.517,7022,2023-07-08 16:22:29:558
0.1089,0.4154,9.5684,8022,2023-07-08 16:22:30:558
-0.1006,0.4405,9.5924,9023,2023-07-08 16:22:31:559
0.0527,0.5303,9.5253,10022,2023-07-08 16:22:32:558
0.0132,0.6404,9.4152,11022,2023-07-08 16:22:33:558
-0.0599,0.5758,9.5062,12023,2023-07-08 16:22:34:559
0.0551,0.431,9.5397,13022,2023-07-08 16:22:35:558
0.2861,0.5722,9.5768,14022,2023-07-08 16:22:36:558
0.3184,0.6105,9.6139,15022,2023-07-08 16:22:37:558
0.2933,0.674,9.4858,16022,2023-07-08 16:22:38:558
0.2693,0.5722,9.5421,17022,2023-07-08 16:22:39:558
0.2562,0.5806,9.4834,18022,2023-07-08 16:22:40:558
0.2753,0.5878,9.5038,19022,2023-07-08 16:22:41:558
0.6285,1.0918,9.6031,20022,2023-07-08 16:22:42:558
0.4202,1.0008,9.4571,21022,2023-07-08 16:22:43:558
0.814,1.1109,9.4308,22022,2023-07-08 16:22:44:558
0.9625,0.7266,9.408,23022,2023-07-08 16:22:45:558
1.1791,0.3986,8.4851,24022,2023-07-08 16:22:46:558
0.8056,0.4932,9.08,25022,2023-07-08 16:22:47:558
0.9541,0.3735,8.9914,26022,2023-07-08 16:22:48:558
1.1277,0.1592,9.7971,27022,2023-07-08 16:22:49:558
0.899,0.3711,9.4164,28022,2023-07-08 16:22:50:558
0.6488,0.4645,9.4679,29022,2023-07-08 16:22:51:558
0.6524,0.3819,9.4475,30022,2023-07-08 16:22:52:558
0.6141,0.5878,9.4906,31022,2023-07-08 16:22:53:558
0.4812,0.34,9.2811,32022,2023-07-08 16:22:54:558
-0.6452,1.7478,9.6582,33022,2023-07-08 16:22:55:558
0.6225,0.9972,9.3721,34023,2023-07-08 16:22:56:559
1.3946,0.9373,10.0832,35022,2023-07-08 16:22:57:558
1.5083,0.9301,9.6426,36022,2023-07-08 16:22:58:558
1.998,0.747,8.9399,37022,2023-07-08 16:22:59:558
2.4289,0.4956,10.0149,38022,2023-07-08 16:23:00:558
3.073,0.2514,9.432,39022,2023-07-08 16:23:01:558
3.5207,0.5148,10.1347,40022,2023-07-08 16:23:02:558
4.5047,0.2454,8.3809,41022,2023-07-08 16:23:03:558
3.8918,0.1185,8.8358,42022,2023-07-08 16:23:04:558
3.8762,-0.1161,7.6219,43022,2023-07-08 16:23:05:558
5.0147,-0.0012,9.5062,44022,2023-07-08 16:23:06:558
4.4113,-0.4046,6.8211,45022,2023-07-08 16:23:07:558
4.9763,-0.6823,7.4543,46022,2023-07-08 16:23:08:558
4.9021,-0.4633,6.8965,47022,2023-07-08 16:23:09:558
4.7381,-1.0068,7.3011,48022,2023-07-08 16:23:10:558
5.5605,-0.5171,9.9778,49022,2023-07-08 16:23:11:558
4.7908,-0.723,9.0537,50022,2023-07-08 16:23:12:558
4.9009,-0.5183,11.8034,51022,2023-07-08 16:23:13:558
5.4684,-0.4669,12.1697,52022,2023-07-08 16:23:14:558
4.7585,-1.1169,9.6199,53022,2023-07-08 16:23:15:558
5.2002,-0.9421,11.7436,54022,2023-07-08 16:23:16:558
5.2038,-1.1995,6.7995,55022,2023-07-08 16:23:17:558
4.3778,-1.087,8.6012,56022,2023-07-08 16:23:18:558
4.774,-0.7159,7.3945,57022,2023-07-08 16:23:19:558
4.5897,-0.8056,7.3586,58022,2023-07-08 16:23:20:558
4.6807,-0.577,10.1406,59022,2023-07-08 16:23:21:558
5.454,-1.221,9.7707,60022,2023-07-08 16:23:22:558
5.1344,-0.6871,11.6729,61022,2023-07-08 16:23:23:558
5.2744,-1.172,12.6414,62022,2023-07-08 16:23:24:558
4.9141,-0.7254,9.76,63022,2023-07-08 16:23:25:558
4.5873,-1.1875,12.2727,64022,2023-07-08 16:23:26:558
4.7597,-1.5347,8.078,65023,2023-07-08 16:23:27:559
4.6735,-1.6065,8.837,66022,2023-07-08 16:23:28:558
4.2904,-1.0678,8.685,67022,2023-07-08 16:23:29:558
4.9584,-1.057,8.4683,68022,2023-07-08 16:23:30:558
4.8878,-1.4293,10.2185,69022,2023-07-08 16:23:31:558
5.0099,-1.3192,10.0556,70022,2023-07-08 16:23:32:558
4.9129,-0.8487,11.5448,71022,2023-07-08 16:23:33:558
4.8662,-0.9433,11.8477,72023,2023-07-08 16:23:34:559
4.9811,-1.0654,11.71,73022,2023-07-08 16:23:35:558
4.9787,-0.814,11.2827,74022,2023-07-08 16:23:36:558
5.0123,-1.1875,9.4894,75022,2023-07-08 16:23:37:558
5.0278,-1.1456,10.1299,76023,2023-07-08 16:23:38:559
3.8559,-1.3144,7.4651,77022,2023-07-08 16:23:39:558
4.4532,-1.0415,7.4998,78022,2023-07-08 16:23:40:558
4.2066,-0.9876,8.6778,79022,2023-07-08 16:23:41:558
4.4592,-0.8404,8.005,80022,2023-07-08 16:23:42:558
5.5426,-1.3635,12.2918,81022,2023-07-08 16:23:43:558
4.883,-0.6452,11.1929,82022,2023-07-08 16:23:44:558
5.4636,-1.585,12.1877,83022,2023-07-08 16:23:45:558
5.4253,-1.5083,11.8082,84022,2023-07-08 16:23:46:558
4.4329,-1.4293,8.3761,85022,2023-07-08 16:23:47:558
5.1775,-1.306,9.1518,86022,2023-07-08 16:23:48:558
3.9564,-1.2737,6.7552,87022,2023-07-08 16:23:49:558
3.9564,-0.9194,7.7105,88022,2023-07-08 16:23:50:558
4.1396,-0.9457,7.9619,89022,2023-07-08 16:23:51:558
4.4245,-0.9421,8.9795,90022,2023-07-08 16:23:52:558
5.4277,-1.1636,11.5544,91022,2023-07-08 16:23:53:558
5.1439,-0.923,11.3054,92022,2023-07-08 16:23:54:558
5.0362,-0.9888,10.6374,93022,2023-07-08 16:23:55:558
5.1044,-1.1193,11.8309,94022,2023-07-08 16:23:56:558
5.2696,-1.3084,8.0888,95022,2023-07-08 16:23:57:558
4.6914,-1.1672,9.9096,96022,2023-07-08 16:23:58:558
4.5334,-1.324,7.677,97023,2023-07-08 16:23:59:559
4.8088,-1.1205,7.6722,98022,2023-07-08 16:24:00:558
4.9835,-1.1456,8.2049,99022,2023-07-08 16:24:01:558
4.9859,-1.3671,8.8466,100022,2023-07-08 16:24:02:558
4.5442,-0.5411,10.2615,101025,2023-07-08 16:24:03:561
5.1176,-1.148,11.4754,102022,2023-07-08 16:24:04:558
5.0673,-1.081,11.8393,103023,2023-07-08 16:24:05:559
5.1092,-1.555,12.159,104022,2023-07-08 16:24:06:558
5.1834,-1.421,12.1374,105022,2023-07-08 16:24:07:558
4.3503,-0.9553,8.7652,106022,2023-07-08 16:24:08:558
4.8818,-1.3276,8.4707,107022,2023-07-08 16:24:09:558
5.0637,-1.3623,8.424,108023,2023-07-08 16:24:10:559
4.3993,-1.0953,7.7847,109022,2023-07-08 16:24:11:558
4.3263,-1.2534,7.914,110022,2023-07-08 16:24:12:558
4.1408,-1.1672,10.9822,111022,2023-07-08 16:24:13:558
5.0637,-1.3491,11.5724,112022,2023-07-08 16:24:14:558
4.4748,-1.0092,11.6945,113022,2023-07-08 16:24:15:558
5.7545,-1.3886,13.9211,114022,2023-07-08 16:24:16:558
4.7321,-1.2222,11.0181,115022,2023-07-08 16:24:17:558
